,Precio,Marca,Modelo,Motor,Potencia,Km,Ciudad,Año,Image
0,46.400,Alfa Romeo,2.2 Veloce,Diesel,210,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/e/medium/99896b470bba24486464c4dd5cbefc1b.JPG
1,61.900,Alfa Romeo,2.2 Villa D´Este Q4,Diesel,210,5,Avila,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/17/c/medium/10ebd272b78fd26260691a2e7fdc22e2.jpg
2,33.890,Alfa Romeo,2.2 Executive,Diesel,190,10,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/26/8/medium/0312318120649bcedfaeb44f09a9000c096504ece1-5690459-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
3,49.200,Alfa Romeo,2.2 Sprint + Q4 190,Diesel,190,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/2/medium/fe70a4af4097ce65699c299dc217353b.jpg
4,54.750,Alfa Romeo,2.0 Veloce Q4 Aut.,Gasolina,280,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/e/medium/9ebd083f110145429244d78dc0888f9f.jpg
5,47.550,Alfa Romeo,2.2 Veloce,Diesel,210,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/e/medium/cc505f6dcecf8d1b679c0b25d77ff9a3.jpg
6,46.700,Alfa Romeo,2.2 Veloce Q4 210,Diesel,210,2.300,Jaen,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/13/7/medium/0310072403imagen.jpg
7,45.300,Alfa Romeo,2.2 Veloce Q4 210,Diesel,210,12,Jaen,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/09/6/medium/0309441057imagen.jpg
8,43.000,Alfa Romeo,2.2 Sprint RWD 190,Diesel,190,9.100,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/9/medium/0311534479188686-1.JPG
9,45.900,Alfa Romeo,2.2 Sprint Q4 190 Aut.,Diesel,190,0,Alicante,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/06/7/medium/02996389491636112727445.jpg
10,41.400,Alfa Romeo,2.2 Executive Q4 210,Diesel,210,4.782,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/2/medium/0311534699192273-1.JPG
11,49.900,Alfa Romeo,2.2 Veloce Q4 210,Diesel,210,5,Avila,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/22/0/medium/7045e020140e0ddcbd18c97c12bd999a.jpg
12,42.990,Alfa Romeo,2.2 Veloce Ti,Diesel,210,5,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/20/b/medium/0296922583a90d6c10-9af2-4cba-98ce-f6b413dacfc8_original.jpg
13,42.990,Alfa Romeo,2.2 Veloce Ti,Diesel,210,5,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/27/c/medium/030738741351952a5b19bfe231d81e3fe6e8914a62_original.jpg
14,46.900,Alfa Romeo,2.0 GME Veloce Q4,Gasolina,280,5,Avila,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/05/1/medium/88c56e5165f57fab69892779af49da54.jpg
15,71.500,Alfa Romeo,2.0 Veloce Q4 Aut.,Gasolina,280,1,"Rioja, La",2021,https://imgs.coches.com/coches/fotos/usados/2021/09/26/7/medium/0292856647imagen.jpeg
16,43.990,Alfa Romeo,2.0 Sprint Aut. 200,Gasolina,200,10,"Rioja, La",2021,https://imgs.coches.com/coches/fotos/usados/2021/09/18/c/medium/0291367493imagen.jpeg
17,48.400,Alfa Romeo,2.0 Executive AWD,Gasolina,280,200,"Rioja, La",2020,https://imgs.coches.com/coches/fotos/usados/2021/09/18/5/medium/0291367393imagen.jpeg
18,33.390,Alfa Romeo,2.2 Executive,Diesel,160,10,Castellon,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/19/d/medium/0296751875017a67cd-7ac9-90b0-b3a4-51791fefcefb.jpg
19,41.990,Alfa Romeo,2.2 Veloce Ti,Diesel,210,5,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/27/6/medium/0307387271558ed9ccaddc10cd80424f9f2f23d5ed_original.jpg
20,249.900,Aston Martin,4.0 AWD Aut.,Gasolina,550,3,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/07/01/f/medium/a5dc33b7ac6378c5677dc5cd78a65b20.jpg
21,375.000,Aston Martin,Superleggera,Gasolina,725,3,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/07/01/e/medium/8e1b4669ab92fa6f13d5ac86d982a3d4.jpg
22,125.000,Aston Martin,,Gasolina,510,6.600,Valencia,2020,https://imgs.coches.com/coches/fotos/usados/2021/12/21/1/medium/0306335239640x480.jpg
23,203.900,Aston Martin,4.0 AWD Aut.,Gasolina,550,1.000,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/15/0/medium/0305439779640x480.jpg
24,195.000,Aston Martin,4.0 510,Gasolina,510,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/c/medium/0312239406Aston-Martin-DB11-0879520282029.jpg
25,199.000,Aston Martin,Volante 4.0 510,Gasolina,510,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/6/medium/0312239662Aston-Martin-Vantage-Roadster-59422.jpg
26,365.000,Aston Martin,Superleggera,Gasolina,725,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/d/medium/0312239426Aston-Martin-DBS-Superleggera-14692028929.jpg
